"tanggal","waktu","label_name"
"	23-04-2023 ","11:00:00","tidak_mencontek"
"	23-04-2023 ","11:00:01","tidak_mencontek"
"	23-04-2023 ","11:00:02","tidak_mencontek"
"	23-04-2023 ","11:00:03","tidak_mencontek"
"	23-04-2023 ","11:00:04","tidak_mencontek"
"	23-04-2023 ","11:00:05","tidak_mencontek"
"	23-04-2023 ","11:00:06","mencontek"
"	23-04-2023 ","11:00:07","mencontek"
"	23-04-2023 ","11:00:08","tidak_mencontek"
"	23-04-2023 ","11:00:09","tidak_mencontek"
"	23-04-2023 ","11:00:10","mencontek"
"	23-04-2023 ","11:00:11","tidak_mencontek"
"	23-04-2023 ","11:00:12","tidak_mencontek"
"	23-04-2023 ","11:00:13","mencontek"
"	23-04-2023 ","11:00:14","mencontek"
"	23-04-2023 ","11:00:15","tidak_mencontek"
"	23-04-2023 ","11:00:16","tidak_mencontek"
"	23-04-2023 ","11:00:17","tidak_mencontek"
"	23-04-2023 ","11:00:18","tidak_mencontek"
"	23-04-2023 ","11:00:19","tidak_mencontek"
"	23-04-2023 ","11:00:20","tidak_mencontek"
"	23-04-2023 ","11:00:21","tidak_mencontek"
"	23-04-2023 ","11:00:22","tidak_mencontek"
"	23-04-2023 ","11:00:23","tidak_mencontek"
"	23-04-2023 ","11:00:24","tidak_mencontek"
"	23-04-2023 ","11:00:25","tidak_mencontek"
"	23-04-2023 ","11:00:26","tidak_mencontek"
"	23-04-2023 ","11:00:27","tidak_mencontek"
"	23-04-2023 ","11:00:28","tidak_mencontek"
"	23-04-2023 ","11:00:29","tidak_mencontek"
"	23-04-2023 ","11:00:30","tidak_mencontek"
"	23-04-2023 ","11:00:31","tidak_mencontek"
"	23-04-2023 ","11:00:32","tidak_mencontek"
"	23-04-2023 ","11:00:33","tidak_mencontek"
"	23-04-2023 ","11:00:34","tidak_mencontek"
"	23-04-2023 ","11:00:35","tidak_mencontek"
"	23-04-2023 ","11:00:36","tidak_mencontek"
"	23-04-2023 ","11:00:37","tidak_mencontek"
"	23-04-2023 ","11:00:38","tidak_mencontek"
"	23-04-2023 ","11:00:39","tidak_mencontek"
"	23-04-2023 ","11:00:40","tidak_mencontek"
"	23-04-2023 ","11:00:41","tidak_mencontek"
"	23-04-2023 ","11:00:42","tidak_mencontek"
"	23-04-2023 ","11:00:43","tidak_mencontek"
"	23-04-2023 ","11:00:44","tidak_mencontek"
"	23-04-2023 ","11:00:45","tidak_mencontek"
"	23-04-2023 ","11:00:46","tidak_mencontek"
"	23-04-2023 ","11:00:47","tidak_mencontek"
"	23-04-2023 ","11:00:48","tidak_mencontek"
"	23-04-2023 ","11:00:49","tidak_mencontek"
"	23-04-2023 ","11:00:50","tidak_mencontek"
"	23-04-2023 ","11:00:51","tidak_mencontek"
"	23-04-2023 ","11:00:52","tidak_mencontek"
"	23-04-2023 ","11:00:53","tidak_mencontek"
"	23-04-2023 ","11:00:54","tidak_mencontek"
"	23-04-2023 ","11:00:55","tidak_mencontek"
"	23-04-2023 ","11:00:56","tidak_mencontek"
"	23-04-2023 ","11:00:57","tidak_mencontek"
"	23-04-2023 ","11:00:58","tidak_mencontek"
"	23-04-2023 ","11:00:59","tidak_mencontek"
"	23-04-2023 ","11:01:00","tidak_mencontek"
"	23-04-2023 ","11:01:01","tidak_mencontek"
"	23-04-2023 ","11:01:02","tidak_mencontek"
"	23-04-2023 ","11:01:03","tidak_mencontek"
"	23-04-2023 ","11:01:04","tidak_mencontek"
"	23-04-2023 ","11:01:05","tidak_mencontek"
"	23-04-2023 ","11:01:06","tidak_mencontek"
"	23-04-2023 ","11:01:07","tidak_mencontek"
"	23-04-2023 ","11:01:08","tidak_mencontek"
"	23-04-2023 ","11:01:09","tidak_mencontek"
"	23-04-2023 ","11:01:10","tidak_mencontek"
"	23-04-2023 ","11:01:11","tidak_mencontek"
"	23-04-2023 ","11:01:12","tidak_mencontek"
"	23-04-2023 ","11:01:13","tidak_mencontek"
"	23-04-2023 ","11:01:14","tidak_mencontek"
"	23-04-2023 ","11:01:15","tidak_mencontek"
"	23-04-2023 ","11:01:16","tidak_mencontek"
"	23-04-2023 ","11:01:17","tidak_mencontek"
"	23-04-2023 ","11:01:18","tidak_mencontek"
"	23-04-2023 ","11:01:19","tidak_mencontek"
"	23-04-2023 ","11:01:20","tidak_mencontek"
"	23-04-2023 ","11:01:21","tidak_mencontek"
"	23-04-2023 ","11:01:22","tidak_mencontek"
"	23-04-2023 ","11:01:23","tidak_mencontek"
"	23-04-2023 ","11:01:24","tidak_mencontek"
"	23-04-2023 ","11:01:25","tidak_mencontek"
"	23-04-2023 ","11:01:26","tidak_mencontek"
"	23-04-2023 ","11:01:27","tidak_mencontek"
"	23-04-2023 ","11:01:28","tidak_mencontek"
"	23-04-2023 ","11:01:29","tidak_mencontek"
"	23-04-2023 ","11:01:30","tidak_mencontek"
"	23-04-2023 ","11:01:31","tidak_mencontek"
"	23-04-2023 ","11:01:32","tidak_mencontek"
"	23-04-2023 ","11:01:33","tidak_mencontek"
"	23-04-2023 ","11:01:34","tidak_mencontek"
"	23-04-2023 ","11:01:35","tidak_mencontek"
"	23-04-2023 ","11:01:36","tidak_mencontek"
"	23-04-2023 ","11:01:37","tidak_mencontek"
"	23-04-2023 ","11:01:38","tidak_mencontek"
"	23-04-2023 ","11:01:39","tidak_mencontek"
"	23-04-2023 ","11:01:40","tidak_mencontek"
"	23-04-2023 ","11:01:41","tidak_mencontek"
"	23-04-2023 ","11:01:42","tidak_mencontek"
"	23-04-2023 ","11:01:43","tidak_mencontek"
"	23-04-2023 ","11:01:44","tidak_mencontek"
"	23-04-2023 ","11:01:45","tidak_mencontek"
"	23-04-2023 ","11:01:46","tidak_mencontek"
"	23-04-2023 ","11:01:47","tidak_mencontek"
"	23-04-2023 ","11:01:48","tidak_mencontek"
"	23-04-2023 ","11:01:49","tidak_mencontek"
"	23-04-2023 ","11:01:50","tidak_mencontek"
"	23-04-2023 ","11:01:51","tidak_mencontek"
"	23-04-2023 ","11:01:52","tidak_mencontek"
"	23-04-2023 ","11:01:53","tidak_mencontek"
